chave_primaria,grape_synonym,grape_country,vinho,chave_estrangeira,origem,tipo,estilo
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,"Edna Valley Chardonnay 2019/20, Central Coast",Chardonnay,USA,White,Rich & Toasty
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Louis Jadot 'Clos du Cromin' Meursault 2018/20,Chardonnay,France,White,Rich & Toasty
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Taittinger Prestige Brut Rosé Champagne,Chardonnay,France,Rosé,Rich & Toasty
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Domaine Michaut Frères 'Le Jardin du Curé' Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Pommery 'Brut Rosé Royal’ Champagne,Chardonnay,France,Rosé,Crisp & Fruity
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Ruinart Rosé Champagne,Chardonnay,France,Rosé,Crisp & Fruity
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Famille Brocard ‘Belle Margote’ Bourgogne Chardonnay 2022,Chardonnay,France,White,Fresh & Elegant
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,"Philippe le Hardi 'Les Platanes d'Henri IV' 2019/20, Santenay",Chardonnay,France,White,Rich & Toasty
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Bouvet Ladubay 'Blanc de Blancs' Crémant de Loire 2020/21,Chardonnay,France,White,Crisp & Fruity
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Cattier Brut Blanc de Blancs Premier Cru Champagne,Chardonnay,France,White,Rich & Toasty
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Chanoine Frères ‘Réserve Privée’ Brut Rosé Champagne,Chardonnay,France,Rosé,
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Drappier 'Signature' Blanc de Blancs Brut Champagne,Chardonnay,France,White,Rich & Toasty
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Domaine Louis Moreau Petit Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,"Puligny-Montrachet 1er Cru 'La Garenne' 2015 Duc de Magenta, Jadot",Chardonnay,France,White,Rich & Toasty
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,"Barista Chardonnay 2021/22, Western Cape",Chardonnay,South Africa,White,Ripe & Rounded
Chardonnay,"Arboisier, Arnaison blanc, Arnoison, Aubain, Aubaine, Auvergnat blanc, Auvernas, Auvernas blanc, Auvernat blanc, Auxeras, Auxerras blanc, Auxerrois blanc, Auxois, Auxois blanc, Bargeois blanc, Beaunois, Biela Klevanjika, Blanc de Champagne, Blanc de Cramant, Breisgauer Suessling, Breisgauer Sussling, Burgundi Feher, Chablis, Chardenai, Chardenay, Chardenet, Chardennet, Chardonay, Chardonnet, Chatenait, Chatey Petit, Chatte, Chaudenay, Chaudenet, Chaudent, Clävner, Clevner Weiss, Cravner, Epinette, Epinette blanc, Epinette blanche, Epinette de Champagne, Ericey blanc, Feher Chardonnay, Feherburgundi, Feinburgunder, Gamay blanc, Gelber Weissburgunder, Gentil blanc, Grosse Bourgogne, Klawner, Klevanjka Biela, Klevner, Lisant, Luisant, Luizannais, Luizant, Luzannois, Maconnais, Maurillon blanc, Melon blanc, Melon D'Arbois, Meroué,[5] Moreau blanc, Morillon blanc, Moulon, Noirien blanc, Obaideh, Petit Chatey, Petit Sainte-Marie, Petite Sainte Marie, Pineau blanc, Pino Sardone, Pino Shardone, Pinot Blanc à Cramant, Pinot Blanc Chardonnay, Pinot Chardonnay, Pinot de Bourgogne, Pinot Giallo, Pinot Planc, Plant de Tonnerre, Romere, Romeret, Rouci Bile, Rousseau, Roussot, Ruländer Weiß, Sainte Marie Petite, Sardone, Shardone, Shardonne, Später Weiß Burgunder, Weiß Burgunder (normally refers to Pinot blanc), Weiß Clevner, Weiß Edler, Weiß Elder, Weiß Klewner, Weiß Silber, Weißedler, Weißer Clevner, Weißer Rulander.",France,Louis Latour Bourgogne Côte d'Or Blanc 2019/21,Chardonnay,France,White,Ripe & Rounded
